p_pred_sec,s_pred_sec,p_status,s_status,p_quality,s_quality,event_id,source_id,p_true_sec,s_true_sec,p_error_ms,s_error_ms
3.99,7.74,detected,detected,182.95483669097,121.101051013553,stead_event_00007,12962350,4,7.63,-9.99999999999979,110
8.99,12.68,detected,detected,215.158992729691,84.7984325751862,stead_event_00008,ci10279289,9,12.25,-9.99999999999979,430
7.98,11.67,detected,detected,215.076204888053,84.8601317366839,stead_event_00009,12962332,8,11.44,-19.9999999999996,230
9.34,15.45,detected,detected,237.398331982079,124.616940815613,stead_event_00012,10925153,9,15.37,340,79.9999999999983
6.34,NaN,detected,not_detected,216.566948485338,98.5273487235353,stead_event_00016,13259505,6,11.24,340,NaN
9.05,13.21,detected,detected,142.489563168271,54.2523095832678,stead_event_00017,604179950,9,13.24,50.0000000000007,-29.9999999999994
6.05,10.21,detected,detected,144.210444235091,54.4339873447255,stead_event_00018,604179950,6,10.24,49.9999999999998,-29.9999999999994
11.16,11.57,detected,detected,225.909986662023,167.232267234317,stead_event_00051,449393,11.16,11.59,0,-19.9999999999996
10.96,12.02,detected,detected,233.955637258602,154.566725214086,stead_event_00085,449393,10.96,12.04,0,-20.0000000000014
14.3,15.3,detected,detected,200.320637396584,135.022212607859,stead_event_00103,495,14.3,15.31,0,-9.99999999999979
11.02,11.9,detected,detected,228.646627343901,112.220641992892,stead_event_00108,449393,11.02,11.92,0,-19.9999999999996
11.44,12.5,detected,detected,199.054084150524,151.079063812636,stead_event_00125,431338,11.43,12.52,9.99999999999979,-19.9999999999996
11.61,12.57,detected,detected,172.128674940544,104.438702113977,stead_event_00132,419463,11.61,12.6,0,-29.9999999999994
6.16,10.92,detected,detected,124.957225758292,53.7681701891597,stead_event_00140,602347413,6,11.48,160,-560
4.16,8.92,detected,detected,148.588067914332,54.2901315000971,stead_event_00141,602347413,4,9.48,160,-560
7.96,9.84,detected,detected,198.195593753952,149.548051442609,stead_event_00161,ld60047501,8,9.89,-40,-50.0000000000007
4.48,7.28,detected,detected,218.674102598065,91.6058633147997,stead_event_00162,603441563,4.48,7.25,0,30.0000000000002
0.98,46.3,detected,uncertain,120.554736176745,2.77967168499495,stead_event_00177,16334499,9,17.5,-8020,28800
5.21,6.04,detected,detected,192.443784739358,61.8415934030423,stead_event_00178,16336727,5,6.7,210,-660
9.98,14.47,detected,detected,163.122189088795,68.5314089614918,stead_event_00184,ci11209170,10,14.5,-19.9999999999996,-29.9999999999994
8.85,13.28,detected,detected,158.256880537374,71.3531639141275,stead_event_00193,15898998,9,13.45,-150,-170.000000000002
9.18,8.97,uncertain,detected,121.235464952125,54.5511651278431,stead_event_00194,15899135,9,15.02,180,-6050
6.96,15.99,detected,detected,146.657135692418,44.6186520851674,stead_event_00208,605626911,7,15.44,-40,550.000000000001
5,9.77,detected,detected,209.000340611249,112.259176149057,stead_event_00218,12680913,5,9.8,0,-30.0000000000011
9.24,12.77,detected,detected,123.043749329683,96.6560247964601,stead_event_00225,602562570,9,12.36,240,410
5.24,8.77,detected,detected,134.260687061851,95.3615074043413,stead_event_00226,602562570,5,8.36,240,410
8.1,12.54,detected,detected,165.926235280113,91.8749582046097,stead_event_00227,603798149,8,10.71,99.9999999999996,1830
5.1,9.54,detected,detected,173.056077190877,92.4419108877024,stead_event_00228,603798149,5,7.71,99.9999999999996,1830
4.04,6.71,detected,detected,160.525614181739,79.0012821783496,stead_event_00239,hv61128081,4,6.65,40,59.9999999999996
8.02,15.73,detected,detected,169.384288029576,75.7249295081234,stead_event_00243,hv61222466,8,11.06,19.9999999999996,4670
6.99,12.24,detected,detected,174.777358471151,42.1715839762945,stead_event_00249,hv61414371,7.01,12.2,-19.9999999999996,39.9999999999991
5.04,6.18,detected,detected,199.624410211337,93.8621705039635,stead_event_00253,hv61468921,5,6.25,40,-70.0000000000003
5.03,5.76,detected,detected,229.580833002677,125.586646383458,stead_event_00263,hv61630461,5,5.81,30.0000000000002,-50.0000000000007
9.01,13.47,detected,detected,177.025472743876,62.0229242634546,stead_event_00265,hv61631916,9,13.54,9.99999999999979,-70.0000000000003
8.01,8.96,detected,detected,216.114456046793,109.639918538048,stead_event_00270,hv61720621,8,9.03,9.99999999999979,-69.9999999999985
4.02,5.38,detected,detected,193.991515286965,69.7396091323794,stead_event_00289,hv70278546,4.01,5.33,9.99999999999979,49.9999999999998
6.99,8.88,detected,uncertain,183.478175082279,66.1623788638598,stead_event_00294,hv70296771,7.01,8.93,-19.9999999999996,-49.9999999999989
6.96,16.2,uncertain,detected,80.8104877016313,44.0042130353739,stead_event_00297,hv70313911,6.96,7.97,0,8230
6.02,7,detected,detected,196.474185243675,87.2860181654959,stead_event_00301,hv70332396,6.03,7.04,-10.0000000000007,-40
4,14.5,detected,detected,198.663001269033,73.5122713709611,stead_event_00309,hv70368966,4.01,5.17,-9.99999999999979,9330
8,8.9,detected,detected,195.820868753638,86.1463959447451,stead_event_00315,hv70413467,8.01,9.21,-9.99999999999979,-310.000000000001
7.98,9.12,detected,detected,184.23310180621,54.2074775037233,stead_event_00320,hv70444457,7.99,9.61,-9.99999999999979,-490
5.99,15.26,detected,detected,189.915999923061,78.9980227943366,stead_event_00327,hv70476007,6.01,7.33,-19.9999999999996,7930
4.01,8.55,detected,detected,218.064691851818,98.8640381561959,stead_event_00344,hv61414371,4.03,8.58,-20.0000000000005,-29.9999999999994
7,10.05,detected,detected,201.12716215,90.9500159965347,stead_event_00347,hv61468921,7,10.08,0,-29.9999999999994
5.99,10.4,detected,detected,232.624640421181,80.530200112219,stead_event_00355,hv61631916,6,10.52,-9.99999999999979,-119.999999999999
4,7.47,detected,detected,209.079184737038,139.202557799219,stead_event_00360,hv61720621,4,7.48,0,-10.0000000000007
6.99,13.57,detected,detected,148.963430458003,38.4910140539357,stead_event_00361,hv61765531,7,13.09,-9.99999999999979,480
9,9.9,detected,detected,116.527567466684,38.4687863248747,stead_event_00372,12975248,9,21.21,0,-11310
9.04,14.59,detected,detected,175.224773707452,105.263192064307,stead_event_00397,601253816,9,14.42,39.9999999999991,170
7.04,12.59,detected,detected,175.883201395772,105.687102078912,stead_event_00398,601253816,7,12.42,40,170
9.4,14.2,detected,detected,190.176691647784,39.413911643723,stead_event_00402,601455028,9,13.7,400,499.999999999998
5.4,10.2,detected,detected,186.305987777597,39.7989503655248,stead_event_00403,601455028,5,9.7,400,499.999999999998
8.09,13.78,detected,detected,200.672253666435,59.2565848110469,stead_event_00404,601456130,8,13.46,89.9999999999999,319.999999999999
6.09,11.78,detected,detected,201.885951166723,58.977524254289,stead_event_00405,601456130,6,11.46,89.9999999999999,319.999999999999
7.98,10.27,detected,detected,220.920967517245,108.974904812013,stead_event_00415,602952322,8,10.32,-19.9999999999996,-50.0000000000007
6.04,11.11,detected,detected,204.346175376904,86.7681099928475,stead_event_00417,602952346,6,11.18,40,-70.0000000000003
8.02,NaN,detected,not_detected,204.278481462441,62.1142118626887,stead_event_00422,602952561,8,10.69,19.9999999999996,NaN
8.95,14.3,detected,detected,189.150800054925,40.7124856255845,stead_event_00430,603374582,9,14.29,-50.0000000000007,9.99999999999979
8.96,13.02,detected,detected,194.936475091947,63.4034039130635,stead_event_00441,603374662,9,13.12,-39.9999999999991,-100.000000000001
6.96,11.02,detected,detected,194.969543805066,63.1284980451847,stead_event_00442,603374662,7,11.12,-40,-100.000000000001
4,9.18,detected,detected,175.291012639695,84.3616066223663,stead_event_00448,603463446,4,9.1,0,80.0000000000001
9,15.19,detected,detected,124.088207211359,63.5483298994007,stead_event_00465,603760886,9,14.53,0,659.999999999998
4,10.19,detected,detected,126.385075757802,65.0075141538415,stead_event_00466,603760886,4,9.53,0,660
